ObjectID,Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,cat_hex,an_hex,diamond_hex
161,-27.54813952,151.3821518,42.0,32.0,100.0,2.0,405.0,1.7,65.0,12.0,#b0ffc1,#ff5c2c,#fff882
162,-27.51315224,151.3239604,37.0,29.0,83.0,1.5,392.0,8.2,40.0,21.0,#b8ffcc,#ff412c,#fff06c
163,-27.51424995,151.3667188,41.0,34.0,103.0,2.0,445.0,3.0,74.0,18.0,#adffc4,#ff5f31,#fff888
164,-27.55185287,151.3419031,37.0,26.0,86.0,1.5,385.0,2.5,50.0,5.0,#b0ffbb,#ff4c22,#fffa6d
165,-27.53980459,151.36720569999997,38.0,31.0,107.0,1.7,401.0,5.1,64.0,15.8,#a0ffb5,#ff5b2f,#faff83
166,-27.57595333,151.37540819999998,36.0,24.0,80.0,1.6,380.0,2.1,48.0,6.6,#b3ffba,#ff4b23,#fff86d
167,-27.230494,151.1981749,34.0,33.0,272.0,1.8,397.0,1.0,308.0,38.0,#4aff5a,#d0ff48,#8fffbb
168,-27.20397267,151.1744273,35.0,32.0,266.0,1.5,424.0,1.1,275.0,54.0,#4cff59,#eeff56,#93ffae
169,-27.16366585,151.1042205,92.0,88.0,540.0,1.0,395.0,1.3,970.0,120.0,#60ff74,#58ff3c,#62b3ff
170,-27.60674847,151.4274831,40.0,41.0,170.0,2.0,475.0,3.6,160.0,33.0,#7eff9c,#ffa946,#e3ffc0
171,-27.58395832,151.3075905,39.0,23.0,76.0,1.1,360.0,6.5,55.0,2.9,#beffbc,#ff5624,#fff075
172,-27.33333491,151.2594045,31.0,38.0,320.0,2.0,461.0,1.2,340.0,91.0,#40ff56,#dbff69,#86ffb6
173,-27.55426039,151.36857790000002,36.0,26.0,85.0,1.3,398.0,1.5,38.0,10.0,#b0ffbc,#ff3b21,#fffa60
174,-27.495813800000004,151.30151730000003,38.0,31.0,99.0,1.2,425.0,6.9,49.0,30.0,#a9ffbf,#ff4a36,#fffd79
